image_path,mask_path,source,chip_id
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_000.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_000.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_000
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_001.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_001.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_001
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_002.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_002.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_002
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_003.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_003.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_003
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_004.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_004.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_004
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_005.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_005.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_005
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_006.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_006.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_006
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_007.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_007.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_007
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_008.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_008.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_008
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_009.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_009.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_009
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_010.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_010.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_010
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_011.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_011.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_011
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_012.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_012.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_012
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_013.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_013.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_013
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_014.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_014.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_014
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_015.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_015.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_015
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_016.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_016.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_016
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_017.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_017.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_017
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_018.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_018.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_018
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_019.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_019.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_019
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_020.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_020.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_020
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_021.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_021.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_021
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_022.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_022.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_022
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_023.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_023.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_023
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_024.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_024.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_024
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_025.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_025.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_025
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_026.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_026.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_026
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_027.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_027.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_027
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_028.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_028.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_028
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_029.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_029.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_029
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_030.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_030.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_030
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_031.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_031.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_031
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_032.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_032.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_032
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_033.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_033.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_033
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_034.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_034.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_034
image_chips\brazil_1613867384368438285913_1613867385107262632908_chip_035.png,masks\brazil_1613867384368438285913_1613867385107262632908_chip_035.png,brazil,brazil_1613867384368438285913_1613867385107262632908_chip_035
image_chips\brazil_161386738870362840906_161386738870362848065_chip_000.png,masks\brazil_161386738870362840906_161386738870362848065_chip_000.png,brazil,brazil_161386738870362840906_161386738870362848065_chip_000
